訂單號	組別	員工號	訂單工段序號	工段序號	越文名稱	其它名稱	IE秒數	數量	生產日期
ABK1-165	BL25	B5003	001-4899	4899	"may mieäng tuùi + mí 1/16"" , LD baám "		63	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9008	002-4759	4759	löôïc tuùi vaøo löng + söôøn + ñính tuùi 		32	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5029	003-4723	4723	"mí 2 kim 1/4"" mieäng tuùi tröôùc "		67	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	51752	004-5356	5356	VS5C bao loùt tuùi *2		41	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	51752	005-5626	5626	VS5C söôøn ngoaøi 		72	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5024	006-5630	5630	VS5C söôøn trong *2		59	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5024	007-5628	5628	VS raùp ñaùy sau 		59	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5015	008-5633	5633	may nhaõn chính +  size vaøo löng 		27	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B8023	009-5636	5636	Vs4C ñuùp loùt löng 		63	160	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5035	010-5645	5645	may noái thun löng *2		16	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9067	011-5617	5617	LD thun löng + caét 		16	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9067	012-5615	5615	uûi phaø hôi thun löng 		16	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5023	013-5621	5621	uõi gaâp lai + LD		41	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B8017	014-5625	5625	"mí 3/4"" lai *2"		99	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5029	015-4774	4774	uûi tuùi TP *2		23	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9067	016-5770	5770	ld do cat day luong lung 		16	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B6039	017-5771	5771	luong day lung 		36	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5051	018-5769	5769	"mi 2 kim 1/4"" day truoc + day sau "		63	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B6039	019-5772	5772	khao 2 dau day luong 		32	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5002	020-6086	6086	dinh 4 diem thun		54	320	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9008	021-6088	6088	dinh co dinh mieng tui 		36	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5023	022-6089	6089	ui keo mieng tui 		14	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5006	023-6091	6091	Tra lung thun + LD khuy 		121	170	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5002	023-6091	6091	Tra lung thun + LD khuy 		121	190	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9067	024-5775	5775	LD dap tui TT + bao tui + got *2		54	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5005	025-5095	5095	LD ta2 lai trong  *2		13.5	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5035	026-6111	6111	ñính ñaàu chæ VS taø 		18	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5005	027-6384	6384	mí 2 kim 1/4 bao tuùi TT *2		68	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B9062	028-6385	6385	ñính bo thun 		54	600	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5035	029-6387	6387	coá ñònh daây vaøo neïp 		36	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5023	030-6388	6388	uõi 1 ñoaïn söôøn 		18	220	2011/12/1 上午 12:00:00
ABK1-165	BL25	B5028	031-6390	6390	"ñuùp taø lai TP 1"" + LD "		143	300	2011/12/1 上午 12:00:00
