#Order	ETD	Cust.	Style	#PO	Color	BOM Q'ty	BOM Unit	PO. Q'ty	PO. Unit	Mark	PO. Prics	PO. Amount	PO. Currency	SHIP. Q'ty	RCV. Q'ty	APB Q'ty	APB. Amount	APB. Currency
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1378	WHITE	4144.00	yd	4144.00	yd		2.65000	10981.60	USD	5312.00	4195.00	4194.00	4194	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1379	SKY-BLUE	2665.60	yd	2666.00	yd		0.13000	346.58	USD	15414.00	2667.00	2667.00	2667	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1381	WHITE	448.00	yd	445.00	meter	min purchase :2000	1.63000	725.35	USD	2000.00	445.00	445.00	445	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1378	WHITE	736.30	yd	736.00	yd		2.65000	1950.40	USD	5312.00	745.00	746.00	746	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1379	SKY-BLUE	473.62	yd	474.00	yd		0.13000	61.62	USD	15414.00	474.00	474.00	474	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1381	WHITE	79.60	yd	79.00	meter	min purchase :2000	1.63000	128.77	USD	2000.00	79.00	79.00	79	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1407	WHITE	1075.20	yd	1075.00	yd		1.20000	1290.00	USD	3124.40	1098.00	1097.00	1097	USD
ABK13-1580	2014-02-19	Belk Private Brands	PT	PO13-1407	WHITE	191.04	yd	191.00	yd		1.20000	229.20	USD	3124.40	195.00	195.00	195	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1407	SLATE-GRAY	247.68	yd	248.00	yd		1.20000	297.60	USD	1299.00	260.00	252.96	252.96	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1378	MEDINAGREY	954.60	yd	954.00	yd		2.65000	2528.10	USD	4704.00	973.00	972.00	972	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1379	SKY-BLUE	614.04	yd	614.00	yd		0.13000	79.82	USD	15414.00	614.00	614.00	614	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1381	GREY	103.20	yd	105.00	meter	min purchase :500	1.79000	187.95	USD	500.00	105.00	105.00	105	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1407	SLATE-GRAY	115.20	yd	115.00	yd		1.20000	138.00	USD	1299.00	121.00	117.30	117.3	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1378	MEDINAGREY	444.00	yd	444.00	yd		2.65000	1176.60	USD	4704.00	453.00	452.00	452	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1379	SKY-BLUE	285.60	yd	286.00	yd		0.13000	37.18	USD	15414.00	286.00	286.00	286	USD
ABK13-1581	2014-01-15	Belk Private Brands	PT	PO13-1381	GREY	48.00	yd	49.00	meter	min purchase :500	1.79000	87.71	USD	500.00	49.00	49.00	49	USD
ABK13-1810	2014-01-15	Belk Private Brands	SH	PO13-2027	WHITE	1654.38	yd	1788.00	yd		2.65000	4738.20	USD	2091.00	1835.00	1835.00	1835	USD
ABK13-1810	2014-01-15	Belk Private Brands	SH	PO13-2123	WHITE	664.58	yd	684.00	yd		1.40000	957.60	USD	1713.00	691.00	690.00	690	USD
ABK13-1810	2014-01-15	Belk Private Brands	SH	PO13-2194	SKY-BLUE	1640.24	yd	1689.00	yd		0.13000	219.57	USD	4232.00	1725.00	1722.00	1722	USD
ABK13-1810	2014-01-15	Belk Private Brands	SH	PO13-2220	WHITE	254.52	yd	259.00	meter	min purchase :700	1.63000	422.17	USD	700.00	259.00	259.00	259	USD
ABK13-1818	2014-01-15	Belk Private Brands	SH	PO13-2220	WHITE	43.20	yd	44.00	meter	min purchase :700	1.63000	71.72	USD	700.00	44.00	44.00	44	USD
ABK13-1818	2014-01-15	Belk Private Brands	SH	PO13-2027	WHITE	230.40	yd	249.00	yd		2.65000	659.85	USD	2091.00	256.00	256.00	256	USD
ABK13-1818	2014-01-15	Belk Private Brands	SH	PO13-2123	WHITE	79.20	yd	82.00	yd		1.40000	114.80	USD	1713.00	83.00	83.00	83	USD
ABK13-1818	2014-01-15	Belk Private Brands	SH	PO13-2194	SKY-BLUE	187.20	yd	193.00	yd		0.13000	25.09	USD	4232.00	197.00	197.00	197	USD
ABK13-1819	2014-02-19	Belk Private Brands	SH	PO13-2194	SKY-BLUE	2009.12	yd	2069.00	yd		0.13000	268.97	USD	4232.00	2113.00	2110.00	2110	USD
ABK13-1819	2014-02-19	Belk Private Brands	SH	PO13-2028	MADEPS1422PLAID	2424.80	yd	2545.00	yd		3.20000	8144.00	USD	2782.00	2520.00	2520.00	2520	USD
ABK13-1819	2014-02-19	Belk Private Brands	SH	PO13-2123	WHITE	822.70	yd	847.00	yd		1.40000	1185.80	USD	1713.00	856.00	856.00	856	USD
ABK13-1819	2014-02-19	Belk Private Brands	SH	PO13-2220	WHITE	346.40	yd	353.00	meter	min purchase :700	1.63000	575.39	USD	700.00	353.00	353.00	353	USD
ABK13-1830	2014-02-19	Belk Private Brands	SH	PO13-2194	SKY-BLUE	187.20	yd	193.00	yd		0.13000	25.09	USD	4232.00	197.00	197.00	197	USD
ABK13-1830	2014-02-19	Belk Private Brands	SH	PO13-2028	MADEPS1422PLAID	252.00	yd	265.00	yd		3.20000	848.00	USD	2782.00	262.00	262.00	262	USD
ABK13-1830	2014-02-19	Belk Private Brands	SH	PO13-2123	WHITE	79.20	yd	82.00	yd		1.40000	114.80	USD	1713.00	83.00	84.00	84	USD
ABK13-1830	2014-02-19	Belk Private Brands	SH	PO13-2220	WHITE	43.20	yd	44.00	meter	min purchase :700	1.63000	71.72	USD	700.00	44.00	44.00	44	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1891	BLACK	2028.00	yd	1908.00	yd	頭缸10/11apvd	2.55000	4865.40	USD	2001.40	2001.40	2001.40	2001.4	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1891	NAVY	1946.88	yd	1831.00	yd	頭缸10/14apvd	2.55000	4669.05	USD	3729.40	1905.00	1905.00	1905	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1891	VIOLET	1946.88	yd	1832.00	yd	頭缸10/11apvd	2.55000	4671.60	USD	3924.90	1924.00	1924.00	1924	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1754	BLACK	1332.00	yd	1236.00	yd	第四次色卡10/14 核可 ,10/16業務另通知追加單-PO13-2142, 將合併於10月底出貨	0.65000	803.40	USD	3917.00	1306.00	1297.78	38213.1321	NTD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1754	NAVY	1278.72	yd	1187.00	yd	第四次色卡10/14 核可,10/16業務另通知追加單-PO13-2142, 將合併於10月底出貨	0.65000	771.55	USD	2529.00	1292.00	1246.10	36691.4145	NTD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1754	VIOLET	1278.72	yd	1187.00	yd	第七次色卡10/14 核可,10/16業務另通知追加單-PO13-2142, 將合併於10月底出貨	0.65000	771.55	USD	2586.00	1267.00	1245.98	36712.8007	NTD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1918	BLACK	3034.08	yd	2892.00	meter		1.05000	3036.60	USD	7200.00	2892.00	2892.00	2892	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-1918	WHITE	1486.08	yd	1421.00	meter		0.90000	1278.90	USD	2900.00	1421.00	1421.00	1421	USD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-2142	BLACK	270.00	yd	269.85	yd		0.65000	175.40	USD	720.00	270.00	270.00	7950.15	NTD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-2142	NAVY	259.20	yd	259.65	yd		0.65000	168.77	USD	425.00	260.00	260.00	7655.7	NTD
ACB13-1742	2014-01-03	CLEO	BZ	PO13-2142	VIOLET	259.20	yd	259.05	yd		0.65000	168.38	USD	450.00	266.00	266.00	7837.69	NTD
ACB13-1743	2014-01-03	CLEO	BZ	PO13-1891	NAVY	1864.07	yd	1754.00	yd	頭缸10/14apvd	2.55000	4472.70	USD	3729.40	1824.40	1824.40	1824.4	USD
